,id,imdb_id,title,vote_average
0,496243,tt6751668,Parasite,8.515
1,155,tt0468569,The Dark Knight,8.512
2,680,tt0110912,Pulp Fiction,8.488
3,539,tt0054215,Psycho,8.437
4,807,tt0114369,Se7en,8.368
5,567,tt0047396,Rear Window,8.359
6,12493,tt0057565,High and Low,8.331
7,274,tt0102926,The Silence of the Lambs,8.3
8,29259,tt0054407,Le Trou,8.3
9,10494,tt0156887,Perfect Blue,8.287
