,id,imdb_id,title,vote_average
0,27205,tt1375666,Inception,8.364
1,157336,tt0816692,Interstellar,8.417
2,155,tt0468569,The Dark Knight,8.512
3,19995,tt0499549,Avatar,7.573
4,24428,tt0848228,The Avengers,7.71
5,293660,tt1431045,Deadpool,7.606
6,299536,tt4154756,Avengers: Infinity War,8.255
7,550,tt0137523,Fight Club,8.438
8,118340,tt2015381,Guardians of the Galaxy,7.906
9,680,tt0110912,Pulp Fiction,8.488
